Company Name,Founder,University,Location,Latitude,Longitude,Year Founded,Therapeutic Areas,Development Stage
Company 1,Dr. Rahul Morgan,UCLA,"Ann Arbor, MI",42.3601,-71.1097,2021,Neurology,Clinical Phase I
Company 2,Dr. Sandra Smith,UCLA,"New Haven, CT",42.2808,-72.9279,2004,Rare Diseases,Preclinical
Company 3,Dr. Michael Chen,University of Michigan,"Los Angeles, CA",34.0522,-122.2727,2010,Infectious Diseases,Clinical Phase III
Company 4,Dr. Rahul Wilson,University of Michigan,"New Haven, CT",42.3601,-74.6592,2003,Rare Diseases,Clinical Phase II
Company 5,Dr. Rahul Garcia,Princeton University,"Chicago, IL",37.8716,-72.9279,2007,Infectious Diseases,Clinical Phase II
Company 6,Dr. Laura Morgan,MIT,"Palo Alto, CA",42.3601,-122.2727,2009,Neurology,Preclinical
Company 7,Dr. Alice Desai,Princeton University,"Princeton, NJ",42.3736,-122.2727,2003,Endocrinology,Clinical Phase II
Company 8,Dr. Michael Smith,Caltech,"Palo Alto, CA",34.1478,-87.6298,2005,Cardiology,Clinical Phase II
Company 9,Dr. Sophia Garcia,Princeton University,"Princeton, NJ",40.3487,-83.743,2011,Infectious Diseases,Clinical Phase II
Company 10,Dr. Alice Wilson,Yale University,"Princeton, NJ",42.2808,-122.2727,2022,Endocrinology,Clinical Phase II
Company 11,Dr. Michael Wilson,Yale University,"Los Angeles, CA",42.2808,-87.6298,2004,Neurology,Clinical Phase III
Company 12,Dr. Laura Smith,Caltech,"New Haven, CT",34.1478,-74.6592,2016,Ophthalmology,Preclinical
Company 13,Dr. John Garcia,Caltech,"New Haven, CT",34.0522,-118.1445,2012,Neurology,Clinical Phase I
Company 14,Dr. Sandra Morgan,UC Berkeley,"Chicago, IL",37.8716,-118.2437,2013,Gene Therapy,Clinical Phase I
Company 15,Dr. Emily Johnson,Princeton University,"Los Angeles, CA",42.2808,-118.2437,2019,Immunology,Clinical Phase II
Company 16,Dr. David Lee,Yale University,"Palo Alto, CA",34.1478,-83.743,2004,Dermatology,Clinical Phase III
Company 17,Dr. Emily Smith,University of Chicago,"Chicago, IL",37.4419,-87.6298,2018,Immunology,Clinical Phase II
Company 18,Dr. David Desai,University of Chicago,"Ann Arbor, MI",42.3736,-118.1445,2012,Neurology,Clinical Phase II
Company 19,Dr. Rahul Johnson,University of Michigan,"Los Angeles, CA",41.8781,-71.1097,2013,Ophthalmology,Clinical Phase III
Company 20,Dr. Rahul Brown,UC Berkeley,"Chicago, IL",34.1478,-74.6592,2005,Cardiology,Market-ready
Company 21,Dr. David Garcia,University of Chicago,"Boston, MA",37.8716,-122.2727,2015,Immunology,Preclinical
Company 22,Dr. Sandra Morgan,UC Berkeley,"Chicago, IL",34.1478,-122.2727,2020,Cardiology,Clinical Phase I
Company 23,Dr. John Wilson,Harvard University,"Palo Alto, CA",34.1478,-74.6592,2017,Immunology,Clinical Phase III
Company 24,Dr. Rahul Johnson,Yale University,"Chicago, IL",34.0522,-74.6592,2022,Dermatology,Clinical Phase I
Company 25,Dr. Rahul Wilson,Princeton University,"Pasadena, CA",41.3083,-87.6298,2020,Rare Diseases,Clinical Phase III
